"1","2000-03-07 08:26:15","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","49212","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"235","2000-03-07 08:27:55","131.84.1.31","127.229.65.23","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27919","34719","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"236","2000-03-07 08:27:55","131.84.1.31","127.85.42.211","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21442","34780","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"237","2000-03-07 08:27:55","131.84.1.31","127.114.55.56","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13720","34843","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"238","2000-03-07 08:27:55","131.84.1.31","127.31.65.41","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19363","35046","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"239","2000-03-07 08:27:55","131.84.1.31","34.5.17.249","Tidak menggunakan ICMP","Tidak menggunakan ICMP","705","35059","Tidak menggunakan UDP","Tidak menggunakan UDP","SNMP AgentX/tcp request","attempted-recon"
"240","2000-03-07 08:27:55","131.84.1.31","127.189.86.37","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30286","35095","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"241","2000-03-07 08:27:55","131.84.1.31","127.95.53.41","Tidak menggunakan ICMP","Tidak menggunakan ICMP","18102","35388","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"242","2000-03-07 08:27:55","131.84.1.31","127.57.200.92","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28168","35523","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"243","2000-03-07 08:27:55","131.84.1.31","127.51.156.49","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31336","35682","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"244","2000-03-07 08:27:55","131.84.1.31","127.208.116.187","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26714","35827","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"245","2000-03-07 08:27:55","131.84.1.31","127.170.91.190","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4149","36016","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"246","2000-03-07 08:27:55","131.84.1.31","127.205.200.56","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13493","36141","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"247","2000-03-07 08:27:55","131.84.1.31","127.166.85.67","Tidak menggunakan ICMP","Tidak menggunakan ICMP","20504","36152","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"248","2000-03-07 08:27:56","131.84.1.31","127.168.146.83","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2487","36328","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"249","2000-03-07 08:27:56","131.84.1.31","127.15.11.159","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4915","36600","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"250","2000-03-07 08:27:56","131.84.1.31","127.144.81.98","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29774","36822","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"251","2000-03-07 08:27:56","131.84.1.31","127.17.173.217","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22570","37042","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"252","2000-03-07 08:27:56","131.84.1.31","127.17.139.100","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4242","37095","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"253","2000-03-07 08:27:56","131.84.1.31","127.70.222.123","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7173","37119","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"254","2000-03-07 08:27:56","131.84.1.31","127.14.252.97","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13115","37133","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"255","2000-03-07 08:27:56","131.84.1.31","127.16.218.30","Tidak menggunakan ICMP","Tidak menggunakan ICMP","11253","37357","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"256","2000-03-07 08:27:56","131.84.1.31","127.114.146.130","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25371","37584","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"257","2000-03-07 08:27:56","131.84.1.31","127.86.199.143","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21966","37629","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"258","2000-03-07 08:27:56","131.84.1.31","127.194.66.94","Tidak menggunakan ICMP","Tidak menggunakan ICMP","8555","37767","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"259","2000-03-07 08:27:56","131.84.1.31","127.238.92.12","Tidak menggunakan ICMP","Tidak menggunakan ICMP","3881","37777","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"260","2000-03-07 08:27:56","131.84.1.31","127.164.17.230","Tidak menggunakan ICMP","Tidak menggunakan ICMP","4327","37883","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"261","2000-03-07 08:27:56","131.84.1.31","127.151.251.165","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21103","38039","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"262","2000-03-07 08:27:56","131.84.1.31","127.145.9.97","Tidak menggunakan ICMP","Tidak menggunakan ICMP","15933","38187","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"263","2000-03-07 08:27:56","131.84.1.31","127.130.26.251","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19304","38471","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"264","2000-03-07 08:27:56","131.84.1.31","127.229.55.144","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21375","38562","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"265","2000-03-07 08:27:56","131.84.1.31","127.52.22.44","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28336","38837","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"266","2000-03-07 08:27:56","131.84.1.31","127.159.51.64","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24149","38864","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"267","2000-03-07 08:27:56","131.84.1.31","127.16.242.53","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24409","38866","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
